"DateTime","Centers for Disease Control and Prevention[en]"
"2009-03-30 00:00:00",663
"2009-03-31 00:00:00",821
"2009-04-01 00:00:00",701
"2009-04-02 00:00:00",718
"2009-04-03 00:00:00",618
"2009-04-04 00:00:00",421
"2009-04-05 00:00:00",546
"2009-04-06 00:00:00",651
"2009-04-07 00:00:00",656
"2009-04-08 00:00:00",660
"2009-04-09 00:00:00",609
"2009-04-10 00:00:00",516
"2009-04-11 00:00:00",443
"2009-04-12 00:00:00",428
"2009-04-13 00:00:00",681
"2009-04-14 00:00:00",730
"2009-04-15 00:00:00",666
"2009-04-16 00:00:00",652
"2009-04-17 00:00:00",608
"2009-04-18 00:00:00",403
"2009-04-19 00:00:00",474
"2009-04-20 00:00:00",670
"2009-04-21 00:00:00",683
"2009-04-22 00:00:00",680
"2009-04-23 00:00:00",701
"2009-04-24 00:00:00",761
"2009-04-25 00:00:00",1372
"2009-04-26 00:00:00",2742
"2009-04-27 00:00:00",5898
"2009-04-28 00:00:00",5115
"2009-04-29 00:00:00",5606
"2009-04-30 00:00:00",6363
"2009-05-01 00:00:00",3821
"2009-05-02 00:00:00",2179
"2009-05-03 00:00:00",1959
"2009-05-04 00:00:00",2444
"2009-05-05 00:00:00",1829
"2009-05-06 00:00:00",1631
"2009-05-07 00:00:00",1440
"2009-05-08 00:00:00",1159
"2009-05-09 00:00:00",922
"2009-05-10 00:00:00",911
"2009-05-11 00:00:00",1380
"2009-05-12 00:00:00",1226
"2009-05-13 00:00:00",1119
"2009-05-14 00:00:00",1126
"2009-05-15 00:00:00",1256
"2009-05-16 00:00:00",664
"2009-05-17 00:00:00",740
"2009-05-18 00:00:00",1170
"2009-05-19 00:00:00",1046
"2009-05-20 00:00:00",898
"2009-05-21 00:00:00",965
"2009-05-22 00:00:00",824
"2009-05-23 00:00:00",494
"2009-05-24 00:00:00",507
"2009-05-25 00:00:00",715
"2009-05-26 00:00:00",927
"2009-05-27 00:00:00",775
"2009-05-28 00:00:00",814
"2009-05-29 00:00:00",766
"2009-05-30 00:00:00",503
"2009-05-31 00:00:00",520
"2009-06-01 00:00:00",739
"2009-06-02 00:00:00",1064
"2009-06-03 00:00:00",777
"2009-06-04 00:00:00",694
"2009-06-05 00:00:00",672
"2009-06-06 00:00:00",500
"2009-06-07 00:00:00",544
"2009-06-08 00:00:00",749
"2009-06-09 00:00:00",754
"2009-06-10 00:00:00",727
"2009-06-11 00:00:00",1018
"2009-06-12 00:00:00",886
"2009-06-13 00:00:00",573
"2009-06-14 00:00:00",659
"2009-06-15 00:00:00",789
"2009-06-16 00:00:00",715
"2009-06-17 00:00:00",763
"2009-06-18 00:00:00",722
"2009-06-19 00:00:00",687
"2009-06-20 00:00:00",495
"2009-06-21 00:00:00",630
"2009-06-22 00:00:00",748
"2009-06-23 00:00:00",696
"2009-06-24 00:00:00",663
"2009-06-25 00:00:00",677
"2009-06-26 00:00:00",537
"2009-06-27 00:00:00",519
"2009-06-28 00:00:00",443
"2009-06-29 00:00:00",683
"2009-06-30 00:00:00",663
"2009-07-01 00:00:00",668
"2009-07-02 00:00:00",640
"2009-07-03 00:00:00",559
"2009-07-04 00:00:00",424
"2009-07-05 00:00:00",428
"2009-07-06 00:00:00",661
"2009-07-07 00:00:00",625
"2009-07-08 00:00:00",592
"2009-07-09 00:00:00",615
"2009-07-10 00:00:00",550
"2009-07-11 00:00:00",434
"2009-07-12 00:00:00",458
"2009-07-13 00:00:00",692
"2009-07-14 00:00:00",678
"2009-07-15 00:00:00",703
"2009-07-16 00:00:00",725
"2009-07-17 00:00:00",669
"2009-07-18 00:00:00",495
"2009-07-19 00:00:00",532
"2009-07-20 00:00:00",704
"2009-07-21 00:00:00",713
"2009-07-22 00:00:00",708
"2009-07-23 00:00:00",722
"2009-07-24 00:00:00",653
"2009-07-25 00:00:00",447
"2009-07-26 00:00:00",504
"2009-07-27 00:00:00",722
"2009-07-28 00:00:00",757
"2009-07-29 00:00:00",698
"2009-07-30 00:00:00",684
"2009-07-31 00:00:00",585
"2009-08-01 00:00:00",439
"2009-08-02 00:00:00",525
"2009-08-03 00:00:00",772
"2009-08-04 00:00:00",742
"2009-08-05 00:00:00",739
"2009-08-06 00:00:00",669
"2009-08-07 00:00:00",638
"2009-08-08 00:00:00",457
"2009-08-09 00:00:00",625
"2009-08-10 00:00:00",920
"2009-08-11 00:00:00",916
"2009-08-12 00:00:00",957
"2009-08-13 00:00:00",996
"2009-08-14 00:00:00",759
"2009-08-15 00:00:00",559
"2009-08-16 00:00:00",553
"2009-08-17 00:00:00",786
"2009-08-18 00:00:00",787
"2009-08-19 00:00:00",756
"2009-08-20 00:00:00",763
"2009-08-21 00:00:00",765
"2009-08-22 00:00:00",463
"2009-08-23 00:00:00",495
"2009-08-24 00:00:00",787
"2009-08-25 00:00:00",963
"2009-08-26 00:00:00",869
"2009-08-27 00:00:00",932
"2009-08-28 00:00:00",765
"2009-08-29 00:00:00",617
"2009-08-30 00:00:00",575
"2009-08-31 00:00:00",926
"2009-09-01 00:00:00",949
"2009-09-02 00:00:00",1054
"2009-09-03 00:00:00",1013
"2009-09-04 00:00:00",897
"2009-09-05 00:00:00",636
"2009-09-06 00:00:00",605
"2009-09-07 00:00:00",817
"2009-09-08 00:00:00",979
"2009-09-09 00:00:00",933
"2009-09-10 00:00:00",930
"2009-09-11 00:00:00",908
"2009-09-12 00:00:00",587
"2009-09-13 00:00:00",657
"2009-09-14 00:00:00",941
"2009-09-15 00:00:00",1003
"2009-09-16 00:00:00",1004
"2009-09-17 00:00:00",820
"2009-09-18 00:00:00",857
"2009-09-19 00:00:00",590
"2009-09-20 00:00:00",596
"2009-09-21 00:00:00",423
"2009-09-22 00:00:00",0
"2009-09-23 00:00:00",0
"2009-09-24 00:00:00",0
"2009-09-25 00:00:00",0
"2009-09-26 00:00:00",0
"2009-09-27 00:00:00",0
"2009-09-28 00:00:00",0
"2009-09-29 00:00:00",0
"2009-09-30 00:00:00",0
"2009-10-01 00:00:00",857
"2009-10-02 00:00:00",686
"2009-10-03 00:00:00",565
"2009-10-04 00:00:00",640
"2009-10-05 00:00:00",840
"2009-10-06 00:00:00",1013
"2009-10-07 00:00:00",932
"2009-10-08 00:00:00",854
"2009-10-09 00:00:00",914
"2009-10-10 00:00:00",584
"2009-10-11 00:00:00",589
"2009-10-12 00:00:00",972
"2009-10-13 00:00:00",1019
"2009-10-14 00:00:00",859
"2009-10-15 00:00:00",0
